precipitation_max,precipitation_min,precipitation_sum,discharge_max,discharge_min,discharge_mean,temperature_max,temperature_min,temperature_mean,potential_evapotranspiration_max,potential_evapotranspiration_min,potential_evapotranspiration_sum,date
22.52998793456091,0.0,611.3096726265615,,,,21.4,-5.2,7.329589041095891,119.6,8.0,644.4,1875-01-01
29.329984292972544,0.0,671.2396405323864,,,,20.8,-7.5,7.152459016393443,122.1,7.5,616.4,1876-01-01
33.0499823008095,0.0,1041.1894424139136,,,,21.8,-4.3,7.178630136986301,130.2,9.5,592.1,1877-01-01
41.83997759352101,0.0,868.6695348031525,,,,20.9,-3.9,8.146575342465754,106.6,9.5,625.1999999999999,1878-01-01
49.459973512799934,0.0,930.8795014879743,,,,18.7,-10.1,5.973424657534247,108.1,7.5,581.4,1879-01-01
30.47998367711569,0.0,891.2295227216475,,,,21.3,-6.4,7.9576502732240435,113.4,8.1,636.8,1880-01-01
37.68997981596097,0.0,859.6195396496781,,,,18.7,-12.1,6.162465753424658,108.9,7.5,578.7,1881-01-01
27.62998520336964,0.0,963.8794838155601,,,,21.5,-4.7,8.407671232876712,113.5,9.5,645.9,1882-01-01
26.779985658568183,0.0,847.3695462098925,,,,23.7,-4.6,7.7315068493150685,116.8,7.5,612.5,1883-01-01
23.38998747400709,0.0,791.9995758620613,,,,22.1,-5.6,8.369398907103825,114.3,9.5,619.6999999999999,1884-01-01
36.84998026580424,0.0,822.2795596462826,,,,21.0,-5.6,7.199452054794521,112.8,7.5,602.1,1885-01-01
32.97998233829644,0.0,739.1296041754108,,,,19.5,-7.4,7.216164383561644,102.6,7.5,588.7,1886-01-01
20.139989214472113,0.0,616.8396696650933,,,,20.8,-7.1,7.136712328767124,117.7,7.5,611.3,1887-01-01
24.729986756399967,0.0,794.2795746410582,,,,20.6,-8.4,6.394535519125683,117.7,8.1,573.1,1888-01-01
23.4399874472307,0.0,704.9596224743923,,,,22.4,-7.8,7.930684931506849,164.5,9.0,672.4,1889-01-01
19.369989626828442,0.0,807.7895674060788,,,,17.8,-6.2,7.538356164383561,113.6,9.5,607.8,1890-01-01
43.72997658137366,0.0,931.8795009524465,,,,20.9,-8.4,7.451506849315069,113.7,7.5,597.4,1891-01-01
21.339988571838873,0.0,699.4596254197946,,,,21.1,-5.8,6.9568306010928955,100.3,7.5,587.7,1892-01-01
22.489987955982016,0.0,884.3595264007229,,,,21.6,-13.5,7.635616438356164,114.7,7.5,624.1,1893-01-01
29.53998418051173,0.0,816.9795624845793,,,,21.6,-6.0,8.542739726027397,120.8,8.0,631.1,1894-01-01
31.909982911311083,0.0,904.8095154491814,,,,20.0,-14.0,7.239726027397261,117.3,7.5,635.2,1895-01-01
29.229984346525317,0.0,778.5895830434878,,,,22.3,-3.7,8.39535519125683,150.1,9.5,671.2,1896-01-01
30.069983896682047,0.0,960.599485572091,,,,21.4,-10.0,7.9799999999999995,136.9,7.5,650.2,1897-01-01
21.409988534351935,0.0,942.3794953294057,,,,21.5,-1.6,8.432054794520548,110.1,9.5,597.3,1898-01-01
