date,p,t,epot,q
1875-01-01,2.680035063028335,-3.1,0.2666666666666666,
1875-01-02,0.1100014391541481,-3.3,0.2666666666666666,
1875-01-03,0.21000274747610093,-2.2,0.2666666666666666,
1875-01-04,1.1500150457024574,1.1,0.2666666666666666,
1875-01-05,8.390109768211842,1.3,0.2666666666666666,
1875-01-06,8.250107936561108,0.9,0.2666666666666666,
1875-01-07,0.0,0.3,0.2666666666666666,
1875-01-08,0.0,-0.9,0.2666666666666666,
1875-01-09,0.0,-0.5,0.2666666666666666,
1875-01-10,0.0,-0.2,0.2666666666666666,
1875-01-11,0.9500124290585518,0.6,0.2666666666666666,
1875-01-12,1.2500163540244102,1.2,0.2666666666666666,
1875-01-13,3.5400463145971295,1.3,0.2666666666666666,
1875-01-14,0.9300121673941613,1.9,0.2666666666666666,
1875-01-15,4.100053641200065,2.4,0.2666666666666666,
1875-01-16,10.410136196315289,2.5,0.2666666666666666,
1875-01-17,2.870037548840046,2.5,0.2666666666666666,
1875-01-18,0.47000614911317823,2.6,0.2666666666666666,
1875-01-19,8.240107805728911,3.4,0.2666666666666666,
1875-01-20,6.990091451704502,4.6,0.2666666666666666,
1875-01-21,12.760166941881181,2.4,0.2666666666666666,
1875-01-22,0.2200028783082962,-2.9,0.2666666666666666,
1875-01-23,0.0,-5.2,0.2666666666666666,
1875-01-24,7.12009315252304,-0.9,0.2666666666666666,
1875-01-25,11.400149148702623,1.8,0.2666666666666666,
1875-01-26,11.010144046247007,-4.3,0.2666666666666666,
1875-01-27,0.0,-3.4,0.2666666666666666,
1875-01-28,0.0,-0.4,0.2666666666666666,
1875-01-29,4.910064238607884,1.2,0.2666666666666666,
1875-01-30,0.0,0.3,0.2666666666666666,
1875-01-31,0.0,1.0,0.2666666666666666,
1875-02-01,6.860089750885963,1.9,0.36,
1875-02-02,0.26000340163707736,3.5,0.36,
1875-02-03,0.3800049716234207,2.2,0.36,
1875-02-04,0.0,-1.3,0.36,
1875-02-05,0.0,-1.0,0.36,
1875-02-06,2.0700270822644233,-4.4,0.36,
1875-02-07,0.0,-5.1,0.36,
1875-02-08,0.0,-3.5,0.36,
1875-02-09,0.0,-2.5,0.36,
1875-02-10,0.0,-2.8,0.36,
1875-02-11,0.0,-5.0,0.36,
1875-02-12,0.12000156998634338,-4.5,0.36,
1875-02-13,0.0,-3.1,0.36,
1875-02-14,0.0,-2.9,0.36,
1875-02-15,0.6800088965892792,-1.2,0.36,
1875-02-16,1.4500189706683158,1.2,0.36,
1875-02-17,0.10000130832195282,-0.1,0.36,
1875-02-18,0.0,-0.9,0.36,
1875-02-19,0.0,-1.7,0.36,
1875-02-20,0.0,-1.8,0.36,
1875-02-21,0.0,-3.4,0.36,
1875-02-22,0.0,-3.2,0.36,
1875-02-23,0.0,-4.3,0.36,
1875-02-24,0.0,-3.8,0.36,
1875-02-25,0.0,-3.4,0.36,
1875-02-26,0.0,-2.9,0.36,
1875-02-27,0.0,-3.1,0.36,
1875-02-28,0.0,-3.8,0.36,
1875-03-01,0.0,-3.9,0.74,
1875-03-02,0.0,-3.2,0.74,
1875-03-03,0.0,-2.7,0.74,
