date;qobs;p;epot;temp;ss;u;l;saturation;qs;ep;qif;pn;qof;ea;g;dl;qr1;qr2;bf;qsim
01-01-1971;15,15;0,03;0,296774194;-5,2;0,03;4,453225806;100;1;0;0,296774194;0,25;0;0;0;0;0;0,359175519;0,359175519;0,858281719;14,86594196
02-01-1971;15,15;0,49;0,296774194;-4,9;0,52;3,933790322;100;1;0;0,296774194;0,22266129;0;0;0;0;0;0,305461355;0,305461355;0,856566871;14,18911781
03-01-1971;14,8;0,05;0,296774194;-5,2;0,57;3,440326612;100;1;0;0,296774194;0,196689516;0;0;0;0;0;0,262662972;0,262662972;0,854855449;13,64562423
04-01-1971;14,5;0;0,296774194;-3,4;0,57;2,971536087;100;1;0;0,296774194;0,172016331;0;0;0;0;0;0,226996298;0,226996298;0,853147447;13,18925521
05-01-1971;14,95;1,56;0,296774194;0,2;0,17;4,486185089;100;1;0,4;0,296774194;0,148576804;0;0;0;0;0;0,196140631;0,196140631;0,851442857;12,79167338
06-01-1971;14,8;7,64;0,296774194;-2;7,81;3,96510164;100;1;0;0,296774194;0,224309254;0;0;0;0;0;0,207224121;0,207224121;0,849741673;12,90623741
07-01-1971;14,5;0;0,296774194;-1,2;7,81;3,470072364;100;1;0;0,296774194;0,198255082;0;0;0;0;0;0,203695079;0,203695079;0,848043888;12,84241447
08-01-1971;15,9;13,49;0,296774194;-0,3;21,3;2,999794552;100;1;0;0,296774194;0,173503618;0;0;0;0;0;0,191815665;0,191815665;0,846349495;12,67666949
09-01-1971;19,2;0,51;0,296774194;2,8;15,7;5;100;1;5,6;0,296774194;0,149989728;3,66303063;1,098909189;0;2,564121441;0;0,607745515;0,607745515;0,849269294;17,79109518
10-01-1971;18,1;0,06;0,296774194;3,8;8,1;5;100;1;7,6;0,296774194;0,25;7,113225806;2,133967742;0;4,979258064;0;1,306634503;1,306634503;0,856526161;26,41359375
11-01-1971;16,9;0;0,296774194;2,1;3,9;5;100;1;4,2;0,296774194;0,25;3,653225806;1,095967742;0;2,557258064;0;1,322110926;1,322110926;0,859413285;26,63782457
